nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
2,0.25,0.25,c,7,1.56,1.56,x,2,3,5
3,0.5,2.5,c,6,1.215,3.215,x,3,2,4
2,0.25,4.25,x,3,0.65,4.65,t2,4,1,3
3,0.5,6.5,x,6,1.42,7.42,x,5,8,2
1,0.0,8.0,t2,1,0.1,8.1,t2,6,7,1
7,1.5,11.5,c,6,1.2,11.2,t1,7,6,8
5,1.0,13.0,t1,2,0.36,12.36,x,8,5,7
6,1.25,15.25,t2,7,1.6,15.6,x,1,4,6
7,1.5,17.5,x,2,0.36,16.36,c,2,3,5
6,1.25,19.25,x,2,0.325,18.325,t1,3,2,4
8,1.75,21.75,x,8,1.82,21.82,x,4,1,3
1,0.0,22.0,x,3,0.575,22.575,x,5,8,2
8,1.75,25.75,x,7,1.545,25.545,t1,6,7,1
2,0.25,26.25,x,3,0.6,26.6,x,7,6,8
7,1.5,29.5,t2,4,0.9,28.9,x,8,5,7
2,0.25,30.25,x,5,1.085,31.085,x,1,4,6
3,0.5,32.5,t1,4,0.855,32.855,x,2,3,5
5,1.0,35.0,x,8,1.845,35.845,x,3,2,4
3,0.5,36.5,t2,4,0.82,36.82,c,4,1,3
3,0.5,38.5,x,8,1.89,39.89,t1,5,8,2
6,1.25,41.25,c,2,0.45,40.45,x,6,7,1
8,1.75,43.75,t2,1,0.11,42.11,x,7,6,8
6,1.25,45.25,x,4,0.7,44.7,x,8,5,7
8,1.75,47.75,x,6,1.41,47.41,t2,1,4,6
7,1.5,49.5,x,8,1.815,49.815,x,2,3,5
7,1.5,51.5,x,1,-0.005,49.995,x,3,2,4
8,1.75,53.75,x,8,1.82,53.82,x,4,1,3
3,0.5,54.5,x,5,0.94,54.94,c,5,8,2
5,1.0,57.0,x,3,0.675,56.675,x,6,7,1
5,1.0,59.0,x,7,1.64,59.64,c,7,6,8
8,1.75,61.75,c,4,0.9,60.9,x,8,5,7
8,1.75,63.75,x,2,0.235,62.235,x,1,4,6
5,1.0,65.0,t2,3,0.53,64.53,t1,2,3,5
2,0.25,66.25,t1,4,0.745,66.745,t2,3,2,4
7,1.5,69.5,x,6,1.425,69.425,x,4,1,3
5,1.0,71.0,c,6,1.42,71.42,x,5,8,2
3,0.5,72.5,x,8,1.89,73.89,x,6,7,1
2,0.25,74.25,x,3,0.64,74.64,x,7,6,8
1,0.0,76.0,x,8,1.775,77.775,c,8,5,7
5,1.0,79.0,x,1,0.16,78.16,c,1,4,6
4,0.75,80.75,x,1,0.055,80.055,x,2,3,5
1,0.0,82.0,x,5,1.16,83.16,x,3,2,4
4,0.75,84.75,c,1,0.015,84.015,t1,4,1,3
8,1.75,87.75,t1,7,1.38,87.38,x,5,8,2
4,0.75,88.75,x,5,1.11,89.11,x,6,7,1
6,1.25,91.25,t1,1,-0.075,89.925,x,7,6,8
6,1.25,93.25,x,7,1.65,93.65,t2,8,5,7
1,0.0,94.0,c,3,0.435,94.435,x,1,4,6
4,0.75,96.75,x,6,1.28,97.28,x,2,3,5
7,1.5,99.5,x,1,0.08,98.08,x,3,2,4
6,1.25,101.25,x,7,1.705,101.705,x,4,1,3
4,0.75,102.75,x,2,0.415,102.415,t2,5,8,2
2,0.25,104.25,x,5,1.195,105.195,x,6,7,1
5,1.0,107.0,x,4,0.78,106.78,x,7,6,8
6,1.25,109.25,x,2,0.36,108.36,x,8,5,7
3,0.5,110.5,x,4,0.76,110.76,t1,1,4,6
4,0.75,112.75,x,5,1.185,113.185,t2,2,3,5
4,0.75,114.75,t2,3,0.705,114.705,c,3,2,4
1,0.0,116.0,t1,5,1.215,117.215,x,4,1,3
2,0.25,118.25,t2,7,1.38,119.38,x,5,8,2
7,1.5,121.5,t1,6,1.4,121.4,c,6,7,1
1,0.0,122.0,x,8,1.915,123.915,t2,7,6,8
1,0.0,124.0,x,5,1.07,125.07,t1,8,5,7
4,0.75,126.75,t1,2,0.235,126.235,x,1,4,6
